需求ID,需求名称,类型,优先级,发布阶段,设计来源,用户故事,用例,验收标准,验证方法
FR-CBT-009,每个遭遇战至少三条解法,功能,P0,R2,设计§4.1/§6.1,US-04,UC-02,AC-04,关卡验收
FR-CBT-010,BOSS至少两阶段,功能,P0,R3,设计§6.2,US-09,UC-03,AC-09,用例测试
FR-PRG-001,成长系统不含数值属性,功能,P0,R1,设计§1/§5,US-04,,AC-26,设计评审
FR-PRG-002,八种心法,功能,P0,R3,设计§5,US-04,,AC-26,功能测试
FR-PRG-003,心法只增加动词,功能,P0,R3,设计§5,US-04,,AC-26,设计评审
FR-PRG-004,心法解锁与章节绑定,功能,P0,R3,设计§5,US-04,,AC-26,功能测试
FR-PRG-005,回丝后悔窗口,功能,P1,R3,设计§5,US-04,UC-02,AC-27,触屏实测
FR-PRG-006,丝线上限渐进解锁,功能,P0,R3,设计§1/§3.3,US-04,,AC-26,功能测试
FR-LVL-001,主线六章28至30关,功能,P0,R3,设计§6.2,US-16,,AC-28,内容验收
FR-LVL-002,每章明确物理主题,功能,P0,R3,设计§6.2,US-16,,AC-28,设计评审
FR-LVL-003,每关设门作为进度锁,功能,P0,R2,设计§6.1,US-01,,AC-29,关卡验收
FR-LVL-004,单屏房间制,功能,P0,R1,设计§8.3,US-16,,AC-30,设计评审
FR-LVL-005,每关至少三种环境物体,功能,P0,R2,设计§4.1,US-04,,AC-04,关卡验收
FR-LVL-006,关卡进入写入检查点,功能,P0,R2,设计§11.2,US-10,UC-08,AC-10,功能测试
FR-LVL-007,验证版含三至五关,功能,P0,R2,设计§10.1,US-01,,AC-28,内容验收
FR-LVL-008,一键重来本关,功能,P1,R2,设计§7,US-08,,AC-31,功能测试
FR-UI-001,丝线数量指示,功能,P0,R1,视觉§7,US-08,,AC-32,UI验收
FR-UI-002,张力条与濒断刻度,功能,P0,R2,视觉§7,US-07,,AC-07,UI验收
FR-UI-003,预判线显示,功能,P0,R1,设计§4.5/视觉§6,US-02,UC-01,AC-02,自动化与手测
FR-UI-004,伤害预读标签,功能,P0,R2,设计§4.5/视觉§6,US-02,,AC-02,自动化测试
FR-UI-005,不显示血条,功能,P0,R1,设计§8.4,US-16,,AC-25,UI验收
FR-UI-006,可连接物体淡金描边,功能,P1,R2,视觉§5.4,US-03,,AC-32,UI验收
FR-UI-007,全游戏文本不超过500字,功能,P1,R3,设计§8.4,US-16,,AC-33,文本统计
FR-UI-008,HUD不随相机滚转,功能,P1,R3,分层,US-16,,AC-22,录制验证
FR-UI-009,辅助模式开关,功能,P1,R3,设计§11,US-14,,AC-14,可访问性测试
FR-NAM-001,命名慢镜与毛笔字播报,功能,P0,R2,设计§4.4/视觉§8,US-06,UC-01,AC-06,用例测试
FR-NAM-002,八种命名种类,功能,P1,R3,设计§4.4,US-06,,AC-06,用例测试
FR-NAM-003,命名判定基于确定性物理量,功能,P0,R2,设计§4.4,US-05,UC-04,AC-05,确定性测试
FR-NAM-004,命名收集册,功能,P2,R3,设计§4.4,US-06,,AC-34,功能测试
FR-NAM-005,绕过设计者的命名可达成,功能,P1,R3,设计§4.4,US-06,,AC-34,用例测试
FR-SAV-001,本地存档内容定义,功能,P0,R1,设计§11,US-10,UC-08,AC-10,功能测试
FR-SAV-002,存档写入时机,功能,P0,R2,设计§11,US-10,UC-08,AC-10,功能测试
FR-SAV-003,存档原子化写入,功能,P0,R2,设计§11.2,US-10,UC-08,AC-10,破坏性测试
FR-SAV-004,存档版本迁移,功能,P1,R3,设计§11.2,US-10,,AC-10,单元测试
FR-SAV-005,微信云端存档,功能,P1,R2,设计§10.1,US-10,UC-08,AC-10,端到端测试
FR-SAV-006,不提供多余重新开始入口,功能,P2,R3,设计§11,US-10,,,设计评审
FR-SAV-007,存档防篡改校验,功能,P1,R3,设计§11.2,US-05,,AC-35,安全测试
FR-CHL-001,墨渊试炼挑战模式,功能,P0,R2,设计§10.1,US-15,UC-04,AC-15,端到端测试
FR-CHL-002,三项成绩维度,功能,P0,R2,设计§10.2,US-15,UC-04,AC-15,端到端测试
FR-CHL-003,敌人配置随机化与种子,功能,P1,R3,设计§10.2,US-15,,AC-15,功能测试
FR-CHL-004,速通模式固定初态计时,功能,P1,R3,设计§10.2,US-05,UC-04,AC-05,功能测试
FR-CHL-005,服务端确定性重放校验,功能,P0,R3,设计§1/§10.2,US-05,UC-04,AC-05,确定性回归测试
FR-CHL-006,挑战模式无付费优势,功能,P0,R2,设计§10.2,US-18,,AC-18,合规测试
FR-SOC-001,分享图生成,功能,P1,R2,设计§10.2,US-13,UC-07,AC-13,端到端测试
FR-SOC-002,确定性回放数据导出,功能,P1,R3,设计§10.2,US-13,UC-07,AC-13,端到端测试
FR-SOC-003,微信好友排行榜,功能,P1,R2,设计§10.2,US-15,,AC-15,端到端测试
FR-SOC-004,回放播放器,功能,P2,R3,设计§10.2,US-13,UC-07,AC-13,功能测试
FR-SOC-005,分享内容安全校验,功能,P0,R2,设计§10.2,US-13,UC-07,AC-36,合规测试
FR-MP-001,不含实时多人对战,功能,P0,,设计§1,US-04,,,设计评审
FR-MP-002,仅提供异步竞争,功能,P0,R2,设计§10.2,US-15,,AC-15,端到端测试
FR-MP-003,不引入帧同步与匹配服务,功能,P0,,设计§10.2,US-04,,,架构评审
FR-MP-004,v2候选本地双人,功能,P2,v2,设计§10.2,US-15,,,产品评审
FR-IAP-001,免费前三章,功能,P0,R2,设计§10.1,US-18,UC-05,AC-18,合规测试
FR-IAP-002,付费解锁后三章,功能,P0,R3,设计§10.1,US-18,UC-05,AC-18,合规测试
FR-IAP-003,无广告无体力无抽卡无折扣,功能,P0,R2,设计§10,US-18,,AC-18,合规测试
FR-IAP-004,恢复购买,功能,P0,R3,设计§10.1,US-18,UC-05,AC-18,功能测试
FR-IAP-005,未实名不可支付,功能,P0,R2,设计§10.3,US-11,UC-06,AC-11,合规测试
FR-IAP-006,付费不影响数值与成绩,功能,P0,R3,设计§10.1,US-18,,AC-18,合规测试
FR-IAP-007,支付状态与重试,功能,P0,R3,设计§10.3,US-18,UC-05,AC-18,端到端测试
FR-OPT-001,四路音量独立调节,功能,P0,R1,视觉§8.2,US-14,,AC-37,音频测试
FR-OPT-002,三档画质,功能,P0,R2,视觉§10,US-14,,AC-38,真机性能测试
FR-OPT-003,辅助模式,功能,P1,R3,设计§11.3,US-14,,AC-14,可访问性测试
FR-OPT-004,文字大小调节,功能,P1,R3,设计§11.3,US-14,,AC-14,可访问性测试
FR-OPT-005,色觉辅助,功能,P1,R3,设计§11.3,US-14,,AC-14,可访问性测试
FR-OPT-006,单手模式,功能,P2,R3,设计§11.3,US-14,,AC-14,可访问性测试
FR-OPT-007,四语言切换,功能,P1,R3,设计§10,US-14,,AC-39,本地化测试
FR-MTA-001,章节开场水墨画卷演出,功能,P1,R3,设计§8.1,US-16,,AC-16,美术评审
FR-MTA-002,叙事以画面为主文字极少,功能,P0,R3,设计§8.4,US-16,,AC-33,文本统计
FR-MTA-003,过场可跳过,功能,P0,R3,设计§11,US-08,,AC-40,功能测试
FR-MTA-004,相机四态行为,功能,P0,R2,视觉§9/分层§四,US-16,UC-03,AC-22,录制验证
FR-RND-001,七层视差实现,功能,P0,R2,分层§一,US-16,,AC-22,渲染验证
FR-RND-002,L4视差速率恒为1.00,功能,P0,R2,分层§五,US-02,,AC-22,渲染验证
FR-RND-003,正交相机与orthographicSize缩放,功能,P0,R2,分层§四/§五,US-16,,AC-22,渲染验证
FR-RND-004,仅L4允许交互反馈,功能,P0,R2,分层§五,US-03,,AC-32,UI验收
FR-RND-005,L5与L6遮挡不超过15%,功能,P1,R3,分层§五,US-16,,AC-22,录制验证
FR-RND-006,非灵丝元素饱和度不超过15%,功能,P0,R2,视觉§2.1,US-16,,AC-16,美术评审
FR-RND-007,墨体半分辨率RT合成,功能,P0,R2,视觉§8.1,US-16,,AC-38,性能测试
FR-RND-008,溅墨与晕染同链路处理,功能,P1,R3,视觉§8.1,US-16,,AC-16,美术评审
FR-LIV-001,数值与配置表外置,功能,P0,R1,设计§9,US-17,,AC-41,开发验证
FR-LIV-002,分包按章加载,功能,P0,R2,设计§9,US-16,,AC-38,真机性能测试
FR-LIV-003,自主解法率埋点,功能,P0,R1,设计§11.3,US-01,UC-01,AC-01,数据验证
FR-LIV-004,关卡流失与命名分布埋点,功能,P0,R2,设计§11.3,US-17,,AC-42,数据验证
FR-LIV-005,崩溃与异常上报,功能,P0,R2,设计§11.3,US-17,,AC-43,线上监控
NFR-PERF-001,中端安卓稳定60帧,非功能,P0,R1,设计§9,US-16,,AC-38,真机Profiler
NFR-PERF-002,单屏刚体数上限,非功能,P0,R1,设计§9,US-16,,AC-38,静态检查
NFR-PERF-003,Verlet绳索数量上限,非功能,P0,R1,设计§9,US-16,,AC-38,静态检查
NFR-PERF-004,墨体粒子上限,非功能,P0,R2,视觉§10,US-16,,AC-38,运行时统计
NFR-PERF-005,Draw call上限,非功能,P0,R2,视觉§10,US-16,,AC-38,渲染统计
NFR-PERF-006,峰值内存上限,非功能,P0,R2,设计§9,US-16,,AC-38,云测
NFR-PERF-007,单帧物理耗时上限,非功能,P0,R1,设计§9,US-16,,AC-38,Profiler
NFR-PERF-008,三十分钟无帧率衰减,非功能,P1,R3,设计§9,US-16,,AC-38,真机长跑
NFR-LOAD-001,冷启动到可操作不超过5秒,非功能,P0,R2,设计§9,US-16,,AC-38,真机测试
NFR-LOAD-002,二次启动不超过2.5秒,非功能,P0,R2,设计§9,US-16,,AC-38,真机测试
NFR-LOAD-003,关卡切换不超过1.5秒,非功能,P0,R2,设计§9,US-16,,AC-38,真机测试
NFR-LOAD-004,主包不超过4MB,非功能,P0,R2,设计§9,US-16,,AC-38,包体检查
NFR-LOAD-005,总包不超过30MB,非功能,P0,R2,设计§9,US-16,,AC-38,包体检查
NFR-LOAD-006,首屏不白屏超过1秒,非功能,P0,R2,设计§9,US-16,,AC-38,真机测试
NFR-DISP-001,基准设计分辨率,非功能,P0,R1,视觉§10,US-16,,AC-38,渲染验证
NFR-DISP-002,低画质档分辨率,非功能,P0,R2,视觉§10,US-16,,AC-38,渲染验证
NFR-DISP-003,宽高比支持范围,非功能,P0,R1,视觉§10,US-16,,AC-38,多机型测试
NFR-DISP-004,安全区避让,非功能,P0,R1,视觉§10,US-16,,AC-38,多机型测试
NFR-DISP-005,滚转不露出画布边缘,非功能,P0,R2,分层§四,US-16,,AC-22,录制验证
NFR-DISP-006,高刷屏不加速逻辑,非功能,P1,R3,设计§2.4,US-05,,AC-05,确定性测试
NFR-COMP-001,Android 8.0以上,非功能,P0,R1,设计§9,US-16,,AC-38,机型测试
NFR-COMP-002,iOS 12以上,非功能,P0,R1,设计§9,US-16,,AC-38,机型测试
NFR-COMP-003,微信基础库2.20以上,非功能,P0,R2,设计§10,US-16,,AC-38,平台测试
NFR-COMP-004,Windows 10以上,非功能,P0,R3,设计§10,US-16,,AC-38,平台测试
NFR-COMP-005,低端机型自动降档,非功能,P1,R3,视觉§10,US-16,,AC-38,真机测试
NFR-COMP-006,折叠屏与平板适配,非功能,P1,R3,视觉§10,US-16,,AC-38,机型测试
NFR-NET-001,主线全程离线可玩,非功能,P0,R2,设计§10,US-16,,AC-10,离线测试
NFR-NET-002,输入到表现延迟上限,非功能,P0,R1,视觉§9,US-08,,AC-23,高速摄影与埋点
NFR-NET-003,接口P95延迟上限,非功能,P1,R3,设计§10,US-15,,AC-15,压测
NFR-NET-004,弱网降级不阻塞,非功能,P0,R2,设计§10,US-15,,AC-15,弱网测试
NFR-NET-005,支付回调等待与状态,非功能,P0,R3,设计§10.3,US-18,UC-05,AC-18,端到端测试
NFR-SEC-001,存档完整性校验,非功能,P1,R3,设计§11.2,US-05,,AC-35,安全测试
NFR-SEC-002,成绩服务端重放校验,非功能,P0,R3,设计§1,US-05,UC-04,AC-05,确定性回归测试
NFR-SEC-003,支付凭证二次校验,非功能,P0,R3,设计§10.3,US-18,UC-05,AC-18,安全测试
NFR-SEC-004,关键配置服务端下发,非功能,P1,R3,设计§9,US-17,,AC-41,安全测试
NFR-SEC-005,无明文个人信息,非功能,P0,R2,设计§10.3,US-12,,AC-12,合规测试
NFR-SEC-006,代码混淆与资源加密,非功能,P1,R3,设计§9,US-17,,AC-41,安全测试
NFR-A11Y-001,信息不只依赖颜色,非功能,P0,R2,设计§11.3,US-14,,AC-14,可访问性测试
NFR-A11Y-002,关键机制音频冗余,非功能,P0,R2,视觉§8.2,US-07,,AC-07,音频测试
NFR-A11Y-003,辅助模式,非功能,P1,R3,设计§11.3,US-14,,AC-14,可访问性测试
NFR-A11Y-004,文字大小可调,非功能,P1,R3,设计§11.3,US-14,,AC-14,可访问性测试
NFR-A11Y-005,单手可完成操作,非功能,P2,R3,设计§11.3,US-14,,AC-14,可访问性测试
NFR-A11Y-006,无快速闪烁,非功能,P0,R2,设计§11.3,US-14,,AC-14,可访问性测试
NFR-A11Y-007,降低镜头晃动选项,非功能,P1,R3,分层§四,US-14,,AC-14,可访问性测试
NFR-I18N-001,首发简体中文,非功能,P0,R2,设计§10,US-16,,AC-39,本地化测试
NFR-I18N-002,后续四语言,非功能,P1,R3,设计§10,US-14,,AC-39,本地化测试
NFR-I18N-003,文案全部走资源表,非功能,P0,R1,设计§9,US-17,,AC-39,开发验证
NFR-I18N-004,毛笔字命名的本地化替代,非功能,P1,R3,视觉§8,US-16,,AC-39,本地化测试
NFR-I18N-005,CJK与拉丁字体覆盖与子集化,非功能,P0,R2,视觉§10,US-16,,AC-39,包体与渲染检查
NFR-I18N-006,日期数字格式本地化,非功能,P2,R3,设计§10,US-14,,AC-39,本地化测试
NFR-REL-001,会话崩溃率低于0.5%,非功能,P0,R2,设计§11.3,US-17,,AC-43,线上监控
NFR-REL-002,存档零丢失,非功能,P0,R2,设计§11.2,US-10,UC-08,AC-10,破坏性测试
NFR-REL-003,确定性回归测试,非功能,P0,R1,设计§1,US-05,UC-04,AC-05,确定性回归测试
NFR-MNT-001,数据与逻辑分离可热改,非功能,P0,R1,设计§9,US-17,,AC-41,开发验证
NFR-MNT-002,开发者调试面板,非功能,P0,R1,设计§11.3,US-17,,AC-17,开发验证
NFR-MNT-003,回放导入导出复现,非功能,P0,R1,设计§11.3,US-17,,AC-17,开发验证
NFR-MNT-004,关键模块单元测试,非功能,P0,R1,设计§9,US-17,,AC-17,覆盖率统计
NFR-AUD-001,古琴单弦核心音色,非功能,P0,R2,视觉§8.2,US-07,,AC-37,音频测试
NFR-AUD-002,收丝音高随张力上升,非功能,P0,R2,视觉§8.2,US-07,,AC-07,音频测试
NFR-AUD-003,环境音极简,非功能,P1,R3,视觉§8.2,US-16,,AC-37,音频评审
NFR-AUD-004,BGM极简仅BOSS战完整旋律,非功能,P1,R3,视觉§8.2,US-16,,AC-37,音频评审
NFR-AUD-005,音频延迟不超过100毫秒,非功能,P1,R2,视觉§8.2,US-08,,AC-37,音频测试
CR-RAT-001,中国大陆适龄提示8+,合规,P0,R2,设计§10.3,US-12,UC-06,AC-12,合规测试
CR-RAT-002,内容不含血腥恐怖赌博性暗示,合规,P0,R2,设计§10.3,US-12,,AC-12,内容自审
CR-RAT-003,海外分级送审,合规,P1,R3,设计§10.3,US-12,,AC-12,合规测试
CR-RAT-004,战斗表现不含人体血液肢解,合规,P0,R2,设计§10.3,US-12,,AC-12,内容自审
CR-PRI-001,隐私政策主动同意,合规,P0,R2,设计§10.3,US-12,UC-06,AC-12,合规测试
CR-PRI-002,拒绝隐私的最小模式,合规,P0,R2,设计§10.3,US-12,UC-06,AC-12,合规测试
CR-PRI-003,个人信息收集清单,合规,P0,R2,设计§10.3,US-12,,AC-12,合规测试
CR-PRI-004,不收集无关设备信息,合规,P0,R2,设计§10.3,US-12,,AC-12,合规测试
CR-PRI-005,账号注销与数据删除,合规,P0,R2,设计§10.3,US-12,,AC-12,合规测试
CR-PRI-006,十四岁以下儿童规则,合规,P0,R2,设计§10.3,US-12,,AC-12,合规测试
CR-PRI-007,第三方SDK逐一披露,合规,P0,R2,设计§10.3,US-12,,AC-12,合规测试
CR-PRI-008,传输加密,合规,P0,R2,设计§10.3,US-12,,AC-12,安全测试
CR-ANT-001,接入实名认证,合规,P0,R2,设计§10.3,US-11,UC-06,AC-11,合规测试
CR-ANT-002,未成年人时段限制,合规,P0,R2,设计§10.3,US-12,UC-06,AC-12,合规测试
CR-ANT-003,未成年人消费限额,合规,P0,R2,设计§10.3,US-12,UC-06,AC-12,合规测试
CR-ANT-004,非可玩时段不开启新对局,合规,P0,R2,设计§10.3,US-12,UC-06,AC-12,合规测试
CR-ANT-005,八岁以下不提供付费,合规,P0,R2,设计§10.3,US-12,UC-06,AC-12,合规测试
CR-ANT-006,时段开始与结束提示,合规,P0,R2,设计§10.3,US-12,,AC-12,合规测试
CR-ANT-007,海外儿童法规适配,合规,P1,R3,设计§10.3,US-12,,AC-12,合规测试
CR-LIC-001,企业主体须取得版号,合规,P0,R3,设计§10.3,US-17,,,出版署审批
CR-LIC-002,个人主体免版号路径与备案,合规,P0,R2,设计§10.3,US-17,,,平台备案
CR-LIC-003,软件著作权登记,合规,P0,R2,设计§10.3,US-17,,,版权登记
CR-LIC-004,版号申请时点与周期预留,合规,P0,R3,设计§11.1,US-17,,,项目管理
CR-LIC-005,内购开放前提交版号文件,合规,P0,R3,设计§10.3,US-18,,AC-18,平台审核
CR-LIC-006,海外发行分级与商店合规,合规,P1,R3,设计§10.3,US-17,,,平台审核
CR-LIC-007,题材合规自审,合规,P0,R2,设计§10.3,US-17,,,内容自审
CR-CNT-001,文本内容安全接口,合规,P0,R2,设计§10.3,US-13,UC-07,AC-36,合规测试
CR-CNT-002,图片内容安全接口,合规,P0,R2,设计§10.3,US-13,UC-07,AC-36,合规测试
CR-CNT-003,屏蔽词库与自审报告,合规,P0,R2,设计§10.3,US-17,,AC-36,内容自审
CR-CNT-004,违规内容举报入口,合规,P1,R3,设计§10.3,US-13,,AC-36,合规测试
CR-CNT-005,无自由输入UGC场景,合规,P0,R1,设计§10.3,US-17,,AC-36,设计评审
CR-PAY-001,iOS走平台IAP,合规,P0,R3,设计§10.3,US-18,UC-05,AC-18,合规测试
CR-PAY-002,Android走微信虚拟支付,合规,P0,R3,设计§10.3,US-18,UC-05,AC-18,合规测试
CR-PAY-003,明码标价无诱导表达,合规,P0,R3,设计§10.2,US-18,,AC-18,合规测试
CR-PAY-004,未成年人支付前校验,合规,P0,R3,设计§10.3,US-12,UC-06,AC-12,合规测试
FR-ADS-001,IAdService抽象接口,功能,P0,R1,SRS-6.17,US-18,,AC-44,代码审查
FR-ADS-002,NullAdService空实现,功能,P0,R1,SRS-6.17,US-18,,AC-44,代码审查与包体检查
FR-ADS-003,WeChatAdService实现,功能,P0,R2,SRS-6.17,US-18,,AC-44,功能测试
FR-ADS-004,广告位服务端配置默认关闭,功能,P0,R2,SRS-6.17,US-18,,AC-44,断网测试
FR-ADS-005,广告加载失败静默降级,功能,P0,R2,SRS-6.17,US-18,,AC-44,弱网与断网测试
FR-ADS-006,无P0功能以广告为前置,功能,P0,R2,SRS-6.17,US-18,,AC-44,断网测试
FR-ADS-007,广告位白名单仅三种,功能,P0,R2,SRS-6.17,US-18,,AC-44,代码审查
FR-ADS-008,广告位黑名单禁止项,功能,P0,R2,SRS-6.17,US-18,,AC-44,代码审查与体验测试
FR-ADS-009,章节结算插屏频控,功能,P1,R3,SRS-6.17,US-18,,AC-44,功能测试
FR-ADS-010,序章与第一章无广告,功能,P0,R2,SRS-6.17,US-01,,AC-44,功能测试
FR-ADS-011,广告展示记录与去重,功能,P1,R3,SRS-6.17,US-18,,AC-44,功能测试
FR-ADS-012,未同意隐私不初始化广告SDK,功能,P0,R2,SRS-6.17,US-12,UC-06,AC-36,合规测试
FR-ADS-013,未成年人非个性化广告,功能,P0,R2,SRS-6.17,US-12,,AC-12,合规测试
FR-ADS-014,关闭个性化广告开关,功能,P0,R2,SRS-6.17,US-12,,AC-44,合规测试
FR-ADS-015,广告位埋点,功能,P1,R3,SRS-6.17,US-17,,AC-42,数据验证
FR-ADS-016,关卡提示位慎重开放,功能,P2,R3,SRS-6.17,US-01,,AC-44,产品评审
CR-ADS-001,广告内容依赖平台审核,合规,P0,R2,SRS-8.7,US-17,,AC-44,合规测试
CR-ADS-002,广告SDK单独披露,合规,P0,R2,SRS-8.7,US-12,,AC-12,合规测试
CR-ADS-003,关闭个性化广告入口,合规,P0,R2,SRS-8.7,US-12,,AC-44,合规测试
CR-ADS-004,未成年人仅非个性化广告,合规,P0,R2,SRS-8.7,US-12,,AC-12,合规测试
CR-ADS-005,广告对版号路径的影响,合规,P0,R2,SRS-8.7,US-17,,,出版署与平台确认
CR-ADS-006,广告不得诱导点击,合规,P0,R2,SRS-8.7,US-18,,AC-44,合规测试
CR-ADS-007,激励视频可随时退出,合规,P0,R2,SRS-8.7,US-18,,AC-44,合规测试
